City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
2,Jamestown,US,74.52,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
3,Acapulco,MX,87.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
5,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
6,Airai,TL,65.43,scattered clouds,-8.9266,125.4092,Juvinal Martin
7,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
10,Rikitea,PF,73.96,clear sky,-23.1203,-134.9692,People ThankYou
13,Katsuura,JP,69.91,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
17,Hunsur,IN,68.63,overcast clouds,12.3075,76.2878,GAURI COTTAGE
18,Boa Vista,BR,80.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
22,Labuan,MY,77.36,few clouds,5.2767,115.2417,Tiara Labuan Hotel
23,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
28,Antalaha,MG,69.91,light rain,-14.9003,50.2788,Hotel Vitasoa
29,Portland,US,69.13,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
33,Kapaa,US,81.48,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
35,Teahupoo,PF,76.96,broken clouds,-17.8333,-149.2667,Vanira Lodge
36,Alofi,NU,73.29,clear sky,-19.0595,-169.9187,Taloa Heights
37,Victoria,HK,85.32,few clouds,22.2855,114.1577,Mini Hotel Central
42,Byron Bay,AU,74.05,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
45,Dafeng,CN,77.32,overcast clouds,23.4517,108.5881,Shenglong Hotel
47,Glendive,US,68.63,overcast clouds,47.1053,-104.7125,Baymont by Wyndham Glendive
51,Alegrete,BR,70.97,overcast clouds,-29.7831,-55.7919,Hotel Alegrete
52,Annau,TM,69.3,clear sky,37.8876,58.516,Buzmein Sokak
54,Ribeira Grande,PT,69.93,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
55,Bengkulu,ID,73.33,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
56,Atuona,PF,78.31,scattered clouds,-9.8,-139.0333,Villa Enata
