City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country
0,Vaini,-21.2,-175.2,77.16,73,20,12.66,few clouds,TO
1,Bayir,37.2687,28.2167,64.92,45,3,1.48,clear sky,TR
2,Jamestown,42.097,-79.2353,74.52,49,1,4.61,clear sky,US
3,Acapulco,16.8634,-99.8901,87.62,70,75,4.61,broken clouds,MX
4,Dunedin,-45.8742,170.5036,55.8,63,52,14.0,broken clouds,NZ
5,Kahului,20.8947,-156.47,87.82,63,40,23.02,scattered clouds,US
6,Airai,-8.9266,125.4092,65.43,38,32,4.56,scattered clouds,TL
7,Avarua,-21.2078,-159.775,80.65,69,40,12.66,scattered clouds,CK
8,Torbay,47.6666,-52.7314,57.76,97,90,11.5,fog,CA
9,Bluff,-46.6,168.3333,54.81,69,82,16.89,broken clouds,NZ
10,Rikitea,-23.1203,-134.9692,73.96,76,4,11.83,clear sky,PF
11,Busselton,-33.65,115.3333,44.1,79,0,10.94,clear sky,AU
12,New Norfolk,-42.7826,147.0587,48.92,86,83,1.01,broken clouds,AU
13,Katsuura,35.1333,140.3,69.91,69,86,16.64,overcast clouds,JP
14,Haines Junction,60.7522,-137.5108,57.15,41,62,3.44,broken clouds,CA
15,Saint-Philippe,-21.3585,55.7679,63.99,71,4,7.27,clear sky,RE
16,Hermanus,-34.4187,19.2345,56.89,77,0,14.18,clear sky,ZA
17,Hunsur,12.3075,76.2878,68.63,93,95,4.54,overcast clouds,IN
18,Boa Vista,2.8197,-60.6733,80.58,89,75,4.61,broken clouds,BR
19,Norman Wells,65.282,-126.8329,51.84,62,75,11.5,broken clouds,CA
20,Thompson,55.7435,-97.8558,57.36,77,75,16.11,broken clouds,CA
21,Mar Del Plata,-38.0023,-57.5575,57.22,94,90,10.36,overcast clouds,AR
22,Labuan,5.2767,115.2417,77.36,88,20,1.14,few clouds,MY
23,Souillac,-20.5167,57.5167,70.18,56,40,6.91,scattered clouds,MU
24,Flinders,-34.5833,150.8552,64.26,33,0,7.7,clear sky,AU
25,Pisco,-13.7,-76.2167,62.65,77,0,21.85,clear sky,PE
26,Pokrovsk,48.282,37.1758,58.55,71,39,7.25,scattered clouds,UA
27,Zeya,53.75,127.2667,43.5,79,43,1.28,scattered clouds,RU
28,Antalaha,-14.9003,50.2788,69.91,85,100,10.83,light rain,MG
29,Portland,45.5234,-122.6762,69.13,78,75,4.0,broken clouds,US
30,Okato,-39.2,173.8833,56.43,75,82,12.66,broken clouds,NZ
31,Codrington,-38.2667,141.9667,48.69,78,53,21.45,light rain,AU
32,Vagur,61.4732,-6.8119,52.05,89,9,13.47,clear sky,FO
33,Kapaa,22.0752,-159.319,81.48,76,75,4.0,light rain,US
34,Port Alfred,-33.5906,26.891,60.8,83,71,10.67,broken clouds,ZA
35,Teahupoo,-17.8333,-149.2667,76.96,73,65,18.05,broken clouds,PF
36,Alofi,-19.0595,-169.9187,73.29,88,0,4.61,clear sky,NU
37,Victoria,22.2855,114.1577,85.32,86,18,5.55,few clouds,HK
38,Albany,42.6001,-73.9662,69.39,76,5,2.21,clear sky,US
39,Cape Town,-33.9258,18.4232,57.11,90,75,1.01,broken clouds,ZA
40,Bonavista,48.6499,-53.1147,57.11,97,100,18.92,light rain,CA
41,Yellowknife,62.456,-114.3525,50.52,62,75,4.61,broken clouds,CA
42,Byron Bay,-28.65,153.6167,74.05,62,3,11.63,clear sky,AU
43,Kodiak,57.79,-152.4072,51.31,76,20,5.75,few clouds,US
44,La Ronge,55.1001,-105.2842,59.22,44,75,13.8,broken clouds,CA
45,Dafeng,23.4517,108.5881,77.32,90,99,1.14,overcast clouds,CN
46,Kaitangata,-46.2817,169.8464,53.24,62,55,4.7,broken clouds,NZ
47,Glendive,47.1053,-104.7125,68.63,78,99,11.01,overcast clouds,US
48,Kargasok,59.0556,80.8572,36.07,97,100,7.61,overcast clouds,RU
49,Mataura,-46.1927,168.8643,54.48,56,64,6.11,broken clouds,NZ
50,Punta Arenas,-53.15,-70.9167,42.91,87,90,17.27,light intensity shower rain,CL
51,Alegrete,-29.7831,-55.7919,70.97,92,90,15.3,overcast clouds,BR
52,Annau,37.8876,58.516,69.3,26,0,9.22,clear sky,TM
53,Bredasdorp,-34.5322,20.0403,52.92,82,0,3.44,clear sky,ZA
54,Ribeira Grande,38.5167,-28.7,69.93,68,36,10.47,scattered clouds,PT
55,Bengkulu,-3.8004,102.2655,73.33,90,82,2.75,moderate rain,ID
56,Atuona,-9.8,-139.0333,78.31,77,33,21.56,scattered clouds,PF
57,Kilrush,52.6397,-9.4833,55.89,93,73,7.27,broken clouds,IE
58,Duverge,18.3784,-71.5247,86.05,72,39,2.98,scattered clouds,DO
59,Bogorodskoye,56.55,37.8833,41.83,62,100,16.26,moderate rain,RU
60,Hilo,19.7297,-155.09,81.25,84,90,0.0,light rain,US
61,Guaraciaba Do Norte,-4.1669,-40.7475,76.51,43,89,7.43,overcast clouds,BR
62,Provideniya,64.3833,-173.3,33.91,55,20,13.42,few clouds,RU
63,Puerto Ayora,-0.7393,-90.3518,76.96,88,75,5.99,broken clouds,EC
