City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lagoa,39.05,-27.9833,66.45,66,92,11.68,PT,2021-09-19 01:21:01
1,ketchikan,55.3422,-131.6461,54.07,87,90,0.0,US,2021-09-19 01:20:27
2,severo-kurilsk,50.6789,156.125,52.68,92,100,14.16,RU,2021-09-19 01:19:54
3,vrangel,42.7297,133.0839,68.05,66,100,7.29,RU,2021-09-19 01:26:56
4,norman wells,65.282,-126.8329,51.84,62,75,13.8,CA,2021-09-19 01:20:22
5,rassvet,46.8333,40.75,59.41,75,100,15.66,RU,2021-09-19 01:26:56
6,ribeira grande,38.5167,-28.7,68.22,67,100,8.81,PT,2021-09-19 01:18:46
7,hobart,-42.8794,147.3294,62.46,48,40,25.32,AU,2021-09-19 01:19:53
8,uberaba,-19.7483,-47.9319,82.98,28,55,5.75,BR,2021-09-19 01:26:56
9,prachin buri,14.0833,101.6667,79.88,84,28,1.03,TH,2021-09-19 01:26:56
10,longyearbyen,78.2186,15.6401,46.24,81,75,12.66,SJ,2021-09-19 01:20:37
11,hilo,19.7297,-155.09,83.93,59,40,9.22,US,2021-09-19 01:15:37
12,port elizabeth,-33.918,25.5701,61.09,77,0,13.8,ZA,2021-09-19 01:20:22
13,punta arenas,-53.15,-70.9167,39.31,81,0,9.22,CL,2021-09-19 01:17:31
14,atuona,-9.8,-139.0333,77.77,74,19,17.47,PF,2021-09-19 01:18:08
15,albany,42.6001,-73.9662,69.8,71,27,5.48,US,2021-09-19 01:17:49
16,hermanus,-34.4187,19.2345,56.89,76,6,2.1,ZA,2021-09-19 01:17:59
17,jamestown,42.097,-79.2353,65.52,89,1,1.01,US,2021-09-19 01:18:20
18,busselton,-33.65,115.3333,56.08,83,37,11.48,AU,2021-09-19 01:19:47
19,butaritari,3.0707,172.7902,82.83,69,6,17.52,KI,2021-09-19 01:17:47
20,new norfolk,-42.7826,147.0587,62.1,73,100,7.0,AU,2021-09-19 01:19:40
21,oktyabrskoye,43.0645,44.7417,51.94,100,61,6.71,RU,2021-09-19 01:26:57
22,east london,-33.0153,27.9116,59.99,76,19,23.33,ZA,2021-09-19 01:18:54
23,puerto ayora,-0.7393,-90.3518,69.55,92,46,7.0,EC,2021-09-19 01:20:06
24,graaff-reinet,-32.2522,24.5308,65.05,41,100,7.45,ZA,2021-09-19 01:20:08
25,chino valley,34.7575,-112.4538,75.51,72,90,3.0,US,2021-09-19 01:26:57
26,bosaso,11.2842,49.1816,88.29,57,17,3.8,SO,2021-09-19 01:26:57
27,la romana,18.4273,-68.9728,82.13,89,20,5.75,DO,2021-09-19 01:23:40
28,trowbridge,51.3189,-2.2086,60.66,94,100,3.6,GB,2021-09-19 01:26:58
29,motygino,58.1831,94.7592,47.5,95,99,3.56,RU,2021-09-19 01:26:58
30,ayan,56.45,138.1667,48.25,53,100,20.13,RU,2021-09-19 01:26:58
31,caramay,10.1815,119.236,83.82,68,16,2.35,PH,2021-09-19 01:26:58
32,castro,-24.7911,-50.0119,64.67,84,39,1.79,BR,2021-09-19 01:20:21
33,avarua,-21.2078,-159.775,78.85,65,11,16.11,CK,2021-09-19 01:19:46
34,mataura,-46.1927,168.8643,48.47,70,100,5.32,NZ,2021-09-19 01:17:55
35,narsaq,60.9167,-46.05,41.22,94,100,4.16,GL,2021-09-19 01:18:37
36,thompson,55.7435,-97.8558,55.56,67,75,4.61,CA,2021-09-19 01:19:49
37,port alfred,-33.5906,26.891,60.06,77,95,30.2,ZA,2021-09-19 01:19:43
38,sibu,2.3,111.8167,79.11,89,40,8.05,MY,2021-09-19 01:26:59
39,beauchamps,50.012,1.5176,58.32,78,100,5.03,FR,2021-09-19 01:26:59
40,mount gambier,-37.8333,140.7667,53.51,94,90,18.41,AU,2021-09-19 01:20:11
